RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Bánh Canh Giò Heo - Trần Văn Cẩn,10.7623771000000,106.6304429000000,"68 Trần Văn Cần, Quận Tân Phú, TP. HCM","Quán ăn, ","Món nước, Bánh canh, Ăn vặt - Ăn nhẹ, ","Món Việt, ",12:30 - 19:00,12:30 - 19:00,12:30 - 19:00,12:30 - 19:00,12:30 - 19:00,12:30 - 19:00,12:30 - 19:00,no,no,no,20.000 -30.000,8.4,8.0,7.2,8.0,5
2,Khói BBQ - Thoại Ngọc Hầu,10.7785620000000,106.6303650000000,"222 Thoại Ngọc Hầu, P. Phú Thạnh, Quận Tân Phú, TP. HCM","Buffet, ",,"Món Việt, ",16:00 - 22:30,16:00 - 22:30,16:00 - 22:30,16:00 - 22:30,16:00 - 22:30,16:00 - 22:30,16:00 - 22:30,yes,no,yes,99.000 -109.000,6.0,6.6,6.3,6.3,7
3,Trà Sữa Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Nguyễn Sơn,10.7811030000000,106.6322580000000,"37 Nguyễn Sơn, P. Phú Thạnh, Quận Tân Phú, TP. HCM","Café/Dessert, ","Trà, Thức uống, Trà sữa, Sữa, ","Món Á, Đài Loan, ",08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,no,no,yes,29.000 -55.000,7.8,7.6,7.4,7.8,8
4,Bò Né Vinh Chi Thịnh,10.7857860000000,106.6249810000000,"8 Phạm Vấn, P. Phú Thọ Hòa, Quận Tân Phú, TP. HCM","Quán ăn, ","Thịt Bò, Beefsteak - Bò né, Lẩu, ","Món Việt, ",06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,no,no,no,32.000 -44.000,9.8,10.0,9.6,9.7,5
5,K-Tea,10.7936824000000,106.6335222000000,"141 Trương Vĩnh Ký, Quận Tân Phú, TP. HCM","Café/Dessert, ","Trà, Thức uống, Trà sữa, Sữa, ","Món Việt, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,yes,no,yes,20.000 -50.000,7.9,8.1,8.3,7.9,7
6,Hot Dog Phô Mai Hàn Quốc - Lê Thúc Hoạch,10.7869138000000,106.6252347000000,"39 Lê Thúc Hoạch, P. Phú Thọ Hòa, Quận Tân Phú, TP. HCM","Ăn vặt/vỉa hè, ","Bánh mì, Bánh bao, Hoành Thánh - Vằn Thắn, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên, Xúc xích, Fastfood - Thức ăn nhanh, ","Món Á, Món Hàn, ",15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,no,yes,yes,15.000 -25.000,7.1,7.7,6.3,7.4,9
7,Ngon Nhất Bakery - Thạch Lam,10.7775360000000,106.6287410000000,"157 Thạch Lam, P.Hiệp Tân, Q. Tân Phú, Quận Tân Phú, TP. HCM","Tiệm bánh, ","Bánh sinh nhật/Bánh kem, Donut, Cupcake, Bánh Su/Chour, Bánh - Kẹo, ","Món Việt, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,no,no,no,25.000 -55.000,0.0,0.0,0.0,4.7,10
8,36 Phố Phường - Bún Đậu Mắm Tôm - Bờ Bao Tân Thắng,10.7994141000000,106.6119126000000,"173 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM","Quán ăn, ","Bún, Thịt Heo, Thức uống, ","Món Bắc, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,yes,yes,22.000 -55.000,8.2,6.8,7.6,7.0,5
9,The A Coffee - Huỳnh Văn Chính,10.7830580000000,106.6406460000000,"32/68 Huỳnh Văn Chính, P. Phú Trung (Đối Diện 517 Kênh Tân Hóa), Quận Tân Phú, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Nước ngọt, Trà sữa, ","Món Việt, ",07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,no,no,yes,20.000 -40.000,8.3,8.7,8.0,8.2,6
10,Bánh Xèo Hang - Bánh Xèo Tôm Nhảy - Huỳnh Văn Một,10.7746290000000,106.6319860000000,"12A Huỳnh Văn Một, P. Hòa Thạnh, Quận Tân Phú, TP. HCM","Ăn vặt/vỉa hè, Quán ăn, ","Bánh - Kẹo, Home-made, Bánh xèo, ","Món Việt, Món Miền Trung, ",15:00 - 22:00,15:00 - 22:00,09:00 - 22:00,15:00 - 22:00,"10:28 - 10:28, 15:00 - 22:00","10:28 - 10:28, 15:00 - 22:00",15:00 - 22:00,yes,yes,no,,8.7,9.2,7.7,8.4,6
11,Mì Cay NAGA - Lê Trọng Tấn,10.8064155000000,106.6260230000000,"169 Lê Trọng Tấn, P. Sơn Kỳ, Quận Tân Phú, TP. HCM","Quán ăn, ","Món nước, Mì, ","Món Á, Món Hàn, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,yes,30.000 -57.000,0.0,0.0,0.0,5.0,11
12,Hàng Ăn A Chương - Ăn Vặt Sinh Viên,10.7791170000000,106.6448610000000,"1 Lê Ngã, P. Phú Trung, Quận Tân Phú, TP. HCM","Ăn vặt/vỉa hè, ","Ăn vặt - Ăn nhẹ, Thức uống, ","Món Việt, ",07:30 - 22:20,07:30 - 22:20,07:30 - 22:20,07:30 - 22:20,07:30 - 22:20,07:30 - 22:20,07:30 - 22:20,no,yes,yes,10.000 -39.000,9.9,9.7,0.0,8.5,7
